City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Nation,Date
Luanda,-8.8368,13.2343,84.2,74,40,4.61,AO,1674557488
Mahébourg,-20.4081,57.7,82.69,65,75,9.22,MU,1674557699
Itō,34.9667,139.0833,37.69,57,46,3.0,JP,1674557699
Namatanai,-3.6667,152.4333,80.04,81,81,6.38,PG,1674557699
Praia da Vitória,38.7333,-27.0667,59.76,82,40,17.94,PT,1674557700
Sungai Penuh,-2.0833,101.3833,65.5,98,100,2.62,ID,1674557700
Sakata,38.9167,139.855,23.18,74,75,18.41,JP,1674557700
Kapaa,22.0752,-159.319,72.79,82,12,4.36,US,1674557700
Inyonga,-6.7167,32.0667,80.71,56,98,1.63,TZ,1674557700
Saint Anthony,45.0205,-93.218,22.93,93,0,6.91,US,1674557700
Yar-Sale,66.8333,70.8333,14.22,96,100,14.76,RU,1674557630
Bethel,41.3712,-73.414,35.49,75,20,10.6,US,1674557700
George Town,5.4112,100.3354,83.95,87,40,7.0,MY,1674557476
Constitución,-35.3333,-72.4167,61.77,93,76,4.65,CL,1674557701
Rikitea,-23.1203,-134.9692,78.17,79,5,18.41,PF,1674557701
Bridgetown,13.1,-59.6167,77.49,73,20,17.27,BB,1674557701
Alta Floresta,-9.8756,-56.0861,70.65,99,100,2.68,BR,1674557701
Punta Arenas,-53.15,-70.9167,42.91,70,20,14.97,CL,1674557701
Osakarovka,50.565,72.5692,1.4,100,94,4.0,KZ,1674557701
Darnah,32.767,22.6367,64.26,44,0,5.93,LY,1674557702
Taoudenni,22.6783,-3.9836,72.86,15,0,6.96,ML,1674557702
Atambua,-9.1061,124.8925,75.47,85,100,0.72,ID,1674557702
Upernavik,72.7868,-56.1549,-4.49,83,100,10.65,GL,1674557702
Ancud,-41.8697,-73.8203,53.24,79,20,4.56,CL,1674557702
Kailahun,8.2833,-10.5667,85.19,58,74,2.24,SL,1674557702
Gore,-46.1028,168.9436,46.02,93,3,2.66,NZ,1674557702
Adamovka,51.5223,59.9396,7.57,96,39,1.41,RU,1674557703
Chokurdakh,70.6333,147.9167,-22.76,92,100,1.57,RU,1674557703
Ibaté,-21.9547,-47.9967,67.64,95,100,4.16,BR,1674557703
Albany,42.6001,-73.9662,32.58,82,92,10.13,US,1674557703
Busselton,-33.65,115.3333,68.92,68,0,22.1,AU,1674557703
Sos'va,59.1766,61.8558,23.05,93,32,5.14,RU,1674557703
Ridgecrest,35.6225,-117.6709,39.47,39,0,6.91,US,1674557703
Khatanga,71.9667,102.5,-38.09,96,80,6.4,RU,1674557703
Issia,6.4922,-6.5856,87.28,53,57,4.05,CI,1674557704
Hilo,19.7297,-155.09,73.27,86,12,3.0,US,1674557704
Sørland,67.667,12.6934,39.06,67,98,24.72,NO,1674557704
Barrow,71.2906,-156.7887,-5.78,77,100,24.16,US,1674557538
Rawson,-43.3002,-65.1023,70.09,49,0,27.63,AR,1674557704
Mizdah,31.4451,12.9801,54.45,65,95,6.93,LY,1674557705
Jamestown,42.097,-79.2353,28.71,53,100,18.41,US,1674557705
Avarua,-21.2078,-159.775,71.65,100,92,2.3,CK,1674557705
East London,-33.0153,27.9116,79.74,61,0,24.16,ZA,1674557705
Tazovsky,67.4667,78.7,-18.08,94,100,12.33,RU,1674557705
Kahului,20.8947,-156.47,72.84,89,9,3.0,US,1674557705
Bluff,-46.6,168.3333,53.26,73,4,10.13,NZ,1674557705
Fortuna,40.5982,-124.1573,36.52,100,0,8.05,US,1674557705
Alofi,-19.0595,-169.9187,73.29,94,11,1.14,NU,1674557706
Ormara,25.2088,64.6357,68.86,19,0,14.03,PK,1674557706
Abu Dhabi,24.4667,54.3667,75.31,41,20,4.61,AE,1674557699
Melo,-32.3667,-54.1833,71.73,53,0,2.89,UY,1674557706
Saint-Philippe,-21.3585,55.7679,78.39,88,100,10.25,RE,1674557706
Shimoda,34.6667,138.95,39.11,80,75,26.62,JP,1674557706
Hong Kong,22.2855,114.1577,60.85,40,10,11.99,HK,1674557706
Tuktoyaktuk,69.4541,-133.0374,-8.68,98,100,9.04,CA,1674557706
Cape Town,-33.9258,18.4232,72.09,46,75,14.97,ZA,1674557603
Airai,-8.9266,125.4092,62.38,94,100,1.1,TL,1674557706
Saskylakh,71.9167,114.0833,-9.71,99,100,3.65,RU,1674557707
Gwadar,25.1216,62.3254,66.54,21,0,17.65,PK,1674557707
Port Elizabeth,-33.918,25.5701,76.32,68,75,21.85,ZA,1674557691
Benguela,-12.5763,13.4055,83.35,65,63,11.3,AO,1674557707
Chui,-33.6971,-53.4616,68.34,65,0,4.79,UY,1674557707
Fianarantsoa,-21.4333,47.0833,73.51,80,88,3.36,MG,1674557707
Kieta,-6.2167,155.6333,76.75,93,100,2.04,PG,1674557707
Alice Springs,-23.7,133.8833,87.35,25,67,5.75,AU,1674557536
São João da Barra,-21.6403,-41.0511,77.09,90,100,6.42,BR,1674557708
Ushuaia,-54.8,-68.3,46.06,61,20,4.61,AR,1674557431
Lagoa,39.05,-27.9833,59.88,75,99,16.58,PT,1674557708
Black River,18.0264,-77.8487,70.99,79,15,5.64,JM,1674557708
Ixtapa,20.7,-105.2,64.96,84,95,3.36,MX,1674557675
San Policarpo,12.1791,125.5072,79.5,80,73,15.68,PH,1674557708
Saldanha,-33.0117,17.9442,71.65,65,86,17.81,ZA,1674557708
Yangi Marg`ilon,40.4272,71.7189,34.52,47,10,4.61,UZ,1674557708
Longyearbyen,78.2186,15.6401,26.44,80,75,18.41,SJ,1674557709
Vaini,-21.2,-175.2,80.76,89,40,6.91,TO,1674557709
Grindavik,63.8424,-22.4338,41.47,87,75,14.97,IS,1674557709
Batagay-Alyta,67.8006,130.4114,-26.03,99,100,2.89,RU,1674557709
North Bend,43.4065,-124.2243,38.86,93,0,4.61,US,1674557709
Puerto Peñasco,31.3167,-113.5333,51.73,42,0,9.69,MX,1674557709
Sinnamary,5.3833,-52.95,76.06,80,46,11.59,GF,1674557709
Sabha,27.0377,14.4283,73.02,12,0,13.85,LY,1674557709
Ponta do Sol,32.6667,-17.1,65.12,55,9,6.35,PT,1674557709
Hithadhoo,-0.6,73.0833,80.94,76,76,15.17,MV,1674557710
Jaú,-22.2964,-48.5578,71.92,92,100,1.61,BR,1674557710
Guerrero Negro,27.9769,-114.0611,50.76,42,21,4.25,MX,1674557710
Atuona,-9.8,-139.0333,78.73,74,8,19.26,PF,1674557710
Mumbai,19.0144,72.8479,76.98,44,17,12.66,IN,1674557651
Mar del Plata,-38.0023,-57.5575,66.94,83,0,11.99,AR,1674557522
French Harbor,16.35,-86.4333,77.99,79,4,15.9,HN,1674557710
Ambilobe,-13.2,49.05,74.55,94,100,6.31,MG,1674557710
Tucupita,9.0622,-62.051,68.31,98,49,2.37,VE,1674557710
Qaanaaq,77.484,-69.3632,-12.42,66,29,5.75,GL,1674557711
Hobart,-42.8794,147.3294,66.06,84,20,5.75,AU,1674557711
Keti Bandar,24.1447,67.4497,68.97,30,0,11.43,PK,1674557711
Nouadhibou,20.931,-17.0347,62.58,63,0,20.71,MR,1674557711
Svebølle,55.6518,11.2866,36.14,79,49,12.41,DK,1674557711
Kuala Kedah,6.1,100.3,83.07,74,40,6.91,MY,1674557711
Yellowknife,62.456,-114.3525,5.56,85,100,8.05,CA,1674557711
Chapadinha,-3.7417,-43.3603,75.63,92,77,2.53,BR,1674557711
Mataura,-46.1927,168.8643,45.86,93,4,2.13,NZ,1674557712
Iqaluit,63.7506,-68.5145,-15.07,76,75,10.36,CA,1674557428
Kavieng,-2.5744,150.7967,82.11,77,82,9.04,PG,1674557712
Puerto Ayora,-0.7393,-90.3518,71.55,97,77,3.11,EC,1674557712
Thunder Bay,48.4001,-89.3168,-2.78,98,95,4.05,CA,1674557712
Makkah al Mukarramah,21.4267,39.8261,82.24,43,0,9.51,SA,1674557712
Saint-Pierre,-21.3393,55.4781,78.48,83,75,4.61,RE,1674557712
Castro,-24.7911,-50.0119,66.96,84,16,1.66,BR,1674557712
Hlotse,-28.8718,28.045,81.57,25,0,5.97,LS,1674557712
Hermanus,-34.4187,19.2345,66.79,63,90,19.1,ZA,1674557712
Kartaly,53.0522,60.6467,13.42,90,20,6.44,RU,1674557462
Villa Guerrero,18.8667,-99.65,58.28,72,1,4.43,MX,1674557713
Faanui,-16.4833,-151.75,79.48,71,100,8.81,PF,1674557713
Casa Nova,-9.4167,-41.1333,79.3,67,18,12.71,BR,1674557713
Bredasdorp,-34.5322,20.0403,64.81,58,63,18.9,ZA,1674557713
Vao,-22.6667,167.4833,78.62,79,32,3.96,NC,1674557713
Mossamedes,-15.1961,12.1522,76.71,77,88,8.75,AO,1674557713
Adrar,20.5022,-10.0711,73.02,12,0,9.08,MR,1674557714
Yantal',56.8471,105.2542,-7.46,99,100,2.86,RU,1674557714
Kondinskoye,59.6481,67.41,20.16,89,96,9.53,RU,1674557714
Bijapur,16.8333,75.7,86.27,33,66,12.48,IN,1674557714
Bhānder,25.7333,78.75,79.61,45,13,6.53,IN,1674557714
Port Alfred,-33.5906,26.891,72.18,75,64,10.0,ZA,1674557714
Safi,32.2994,-9.2372,57.92,50,0,15.28,MA,1674557714
Ribeira Grande,38.5167,-28.7,61.77,94,75,17.27,PT,1674557715
Prachin Buri,14.0833,101.6667,83.89,45,65,13.22,TH,1674557715
Nemuro,43.3236,145.575,25.79,79,98,18.03,JP,1674557715
North Battleford,52.7834,-108.2847,15.89,92,100,6.91,CA,1674557715
Dul'durga,50.6761,113.5931,-16.65,86,100,1.43,RU,1674557715
Codrington,-38.2667,141.9667,60.28,83,24,8.05,AU,1674557715
Hasaki,35.7333,140.8333,34.21,97,65,24.45,JP,1674557715
Yenagoa,4.9247,6.2642,98.24,38,60,1.34,NG,1674557716
Inírida,3.8653,-67.9239,70.45,98,84,1.12,CO,1674557716
Lüderitz,-26.6481,15.1594,74.97,50,34,24.16,NA,1674557716
Tessalit,20.1986,1.0114,79.38,10,0,7.2,ML,1674557716
Norfolk,42.1668,-71.2495,30.87,92,8,8.41,US,1674557716
Waingapu,-9.6567,120.2641,80.46,77,99,3.53,ID,1674557716
Russell,32.3502,-85.1999,35.01,93,0,0.0,US,1674557716
Mabaruma,8.2,-59.7833,69.87,98,58,2.08,GY,1674557716
Thompson,55.7435,-97.8558,-30.84,75,0,0.0,CA,1674557716
Poli,-3.3333,36.8,77.27,50,75,0.0,TZ,1674557717
Kruisfontein,-34.0033,24.7314,71.89,44,88,22.26,ZA,1674557717
Hämeenlinna,60.996,24.4643,31.14,94,100,7.43,FI,1674557717
Carnarvon,-24.8667,113.6333,76.84,77,2,21.12,AU,1674557717
Jizan,17.3333,42.6667,83.34,50,37,10.0,SA,1674557717
Livingstone,-17.8419,25.8543,69.26,90,100,5.26,ZM,1674557717
Pāthri,19.25,76.45,87.91,30,17,9.51,IN,1674557717
Viranşehir,37.2353,39.7631,57.6,31,0,4.5,TR,1674557717
College,64.8569,-147.8028,-4.41,78,100,3.44,US,1674557717
Ilulissat,69.2167,-51.1,17.89,77,100,9.42,GL,1674557717
Morón,-34.6534,-58.6198,77.79,57,33,9.82,AR,1674557718
Tarauacá,-8.1614,-70.7656,70.95,100,100,3.0,BR,1674557718
Kabanjahe,3.1001,98.4908,62.11,97,100,2.15,ID,1674557718
Mezen',65.8522,44.24,16.74,95,100,9.98,RU,1674557718
Kaitangata,-46.2817,169.8464,51.48,85,13,6.64,NZ,1674557718
Arman',59.7,150.1667,-8.99,83,100,12.77,RU,1674557718
Broome,42.2506,-75.833,30.85,81,100,4.0,US,1674557718
Lebu,-37.6167,-73.65,56.91,89,54,10.13,CL,1674557718
Buala,-8.145,159.5921,78.8,83,100,1.83,SB,1674557719
Teeli,51.0333,90.2333,-3.21,99,100,0.83,RU,1674557719
Visby,57.6409,18.296,34.05,86,75,17.27,SE,1674557719
Port Hardy,50.6996,-127.4199,41.18,100,100,8.05,CA,1674557719
East Liverpool,40.6187,-80.5773,31.93,90,75,1.01,US,1674557719
Hambantota,6.1241,81.1185,84.54,84,75,3.44,LK,1674557719
Vysokogornyy,50.1167,139.15,-25.53,96,100,5.61,RU,1674557719
Bétaré Oya,5.6,14.0833,95.52,12,100,5.28,CM,1674557719
Kaeo,-35.1,173.7833,64.6,89,100,9.86,NZ,1674557720
Laas,46.6166,10.7002,39.02,67,98,1.92,IT,1674557720
Amuntai,-2.4177,115.2494,75.83,95,100,4.03,ID,1674557576
Acapulco de Juárez,16.8634,-99.8901,72.61,66,0,4.09,MX,1674557720
Norman Wells,65.282,-126.8329,-11.16,84,100,0.0,CA,1674557720
Hammond,41.5834,-87.5,30.4,86,100,10.36,US,1674557720
Geraldton,-28.7667,114.6,73.81,78,40,18.41,AU,1674557720
Chute-aux-Outardes,49.1168,-68.399,13.98,92,0,4.61,CA,1674557720
Changji,44.0167,87.3167,2.19,71,64,4.47,CN,1674557720
Māngrol,21.1167,70.1167,74.25,36,25,14.47,IN,1674557721
Mount Isa,-20.7333,139.5,92.97,33,75,9.22,AU,1674557721
Daru,-9.0763,143.2092,80.64,82,99,5.61,PG,1674557721
Arrecife,28.963,-13.5477,66.18,55,20,18.41,ES,1674557654
Nanortalik,60.1432,-45.2371,30.69,85,100,6.46,GL,1674557721
Saint Paul Harbor,57.79,-152.4072,36.14,91,74,7.52,US,1674557721
Balkhash,46.844,74.9804,7.41,85,0,11.18,KZ,1674557721
Blagoyevo,63.3667,47.9167,14.79,94,82,8.46,RU,1674557721
Muros,42.7762,-9.0603,52.09,60,4,15.97,ES,1674557721
Talnakh,69.4865,88.3972,-21.8,94,56,8.7,RU,1674557722
Béoumi,7.6736,-5.5764,89.13,46,11,5.37,CI,1674557722
Xai-Xai,-25.0519,33.6442,86.86,51,98,9.35,MZ,1674557722
Rocha,-34.4833,-54.3333,70.07,48,0,6.49,UY,1674557722
Lázaro Cárdenas,17.9583,-102.2,69.53,66,2,4.63,MX,1674557722
Port Lincoln,-34.7333,135.8667,61.41,80,0,15.61,AU,1674557722
Srednekolymsk,67.45,153.6833,-23.42,95,100,1.95,RU,1674557722
Zaranj,30.9667,61.8833,49.96,28,0,17.94,AF,1674557723
Xihe,31.6864,113.4659,29.21,23,24,5.7,CN,1674557723
Saint George,37.1041,-113.5841,34.39,64,0,3.44,US,1674557723
Lahad Datu,5.0268,118.327,75.92,95,92,6.06,MY,1674557723
Chowchilla,37.123,-120.2602,47.44,71,1,3.13,US,1674557723
Taft,31.7471,54.2088,39.15,39,20,6.91,IR,1674557723
Bathsheba,13.2167,-59.5167,77.61,73,20,17.27,BB,1674557723
Sibolga,1.7427,98.7792,75.65,86,100,5.03,ID,1674557723
Ciudad del Carmen,18.6333,-91.8333,72.41,84,1,13.94,MX,1674557723
Grand Gaube,-20.0064,57.6608,82.8,84,100,11.03,MU,1674557723
Labuhan,-6.8844,112.2051,80.37,83,92,8.41,ID,1674557724
Butaritari,3.0707,172.7902,81.09,80,98,18.19,KI,1674557724
Torbay,47.6666,-52.7314,43.29,97,100,35.68,CA,1674557724
Saiki,32.95,131.9,27.75,64,46,23.82,JP,1674557724
Binabalian Ricor,16.4202,119.9279,78.66,79,15,30.69,PH,1674557724
Zhangye,38.9342,100.4517,9.75,54,15,2.37,CN,1674557724
Mpika,-11.8343,31.4529,73.31,66,94,9.71,ZM,1674557724
Sitka,57.0531,-135.33,39.43,92,100,5.41,US,1674557724
Usol'ye-Sibirskoye,52.7519,103.6453,-10.05,98,100,2.51,RU,1674557724
Pastavy,55.1168,26.8326,25.03,85,99,5.48,BY,1674557580
Nortelândia,-14.4547,-56.8028,73.98,92,100,2.3,BR,1674557725
Loreto,22.2667,-101.9667,47.08,71,100,10.0,MX,1674557725
Pevek,69.7008,170.3133,-14.76,73,82,2.59,RU,1674557725
Souillac,-20.5167,57.5167,82.78,65,75,9.22,MU,1674557725
Esperance,-33.8667,121.9,75.43,58,18,17.6,AU,1674557725
Kokopo,-4.352,152.2633,78.46,81,96,2.42,PG,1674557725
Bambous Virieux,-20.3428,57.7575,82.65,65,75,9.22,MU,1674557725
San Quintín,30.4833,-115.95,51.57,42,0,5.44,MX,1674557725
Severo-Kuril'sk,50.6789,156.125,17.02,65,65,9.91,RU,1674557725
Riyadh,24.6877,46.7219,64.54,48,57,11.43,SA,1674557457
Krasnoarmeysk,51.0239,45.6969,23.77,78,15,4.0,RU,1674557726
Amazar,53.858,120.875,-26.75,98,62,3.13,RU,1674557726
Thinadhoo,0.5333,72.9333,80.87,76,100,16.33,MV,1674557726
Olafsvik,64.8945,-23.7142,41.52,90,75,22.08,IS,1674557726
Shubarshi,48.5872,57.1869,18.14,82,14,6.22,KZ,1674557726
Suntar,62.1444,117.6319,-19.68,99,100,2.91,RU,1674557726
Ahipara,-35.1667,173.1667,64.0,91,100,8.01,NZ,1674557726
Chapais,49.7834,-74.8492,20.98,92,100,12.1,CA,1674557726
Smithers,54.7804,-127.1743,30.52,93,100,2.3,CA,1674557726
Tasiilaq,65.6145,-37.6368,13.96,62,96,6.58,GL,1674557727
Sri Aman,1.2376,111.4621,82.45,83,40,3.44,MY,1674557727
Te Anau,-45.4167,167.7167,52.83,77,49,2.53,NZ,1674557727
Katsuura,35.1333,140.3,41.02,52,79,22.55,JP,1674557727
Kiama,-34.6833,150.8667,73.0,89,96,7.0,AU,1674557727
Zhenjiang,32.2092,119.4342,25.81,56,21,1.99,CN,1674557727
Tiznit Province,29.5833,-9.5,58.15,40,0,3.78,MA,1674557727
Rubtsovsk,51.5,81.25,14.45,94,100,11.43,RU,1674557727
Zhifang,30.35,114.3167,33.78,22,0,8.97,CN,1674557727
Cherskiy,68.75,161.3,-22.65,98,100,1.48,RU,1674557727
New Norfolk,-42.7826,147.0587,65.71,64,83,1.25,AU,1674557728
Mastic,40.802,-72.8409,36.93,72,100,9.22,US,1674557728
Kudahuvadhoo,2.6708,72.8944,78.93,81,94,16.8,MV,1674557728
Qaqortoq,60.7167,-46.0333,29.5,92,100,5.01,GL,1674557728
Rapid Valley,44.0625,-103.1463,34.59,79,100,19.57,US,1674557728
Westport,41.1415,-73.3579,37.09,70,14,8.01,US,1674557728
Ushtobe,45.2514,77.9838,15.76,79,100,3.78,KZ,1674557728
Vigeland,58.0844,7.305,44.06,91,100,9.51,NO,1674557729
San Jose,37.3394,-121.895,50.97,64,0,1.99,US,1674557495
Armidale,-30.5167,151.65,61.2,44,15,3.02,AU,1674557729
Yola,9.2,12.4833,91.22,31,0,5.75,NG,1674557729
Moerai,-22.4333,-151.3333,77.41,83,90,26.57,PF,1674557729
Broken Hill,-31.95,141.4333,79.83,36,55,22.68,AU,1674557729
Walvis Bay,-22.9575,14.5053,70.74,62,100,16.93,NA,1674557729
Tongzi,28.7829,105.0877,49.01,60,33,3.15,CN,1674557729
Santa Cruz de la Sierra,-17.8,-63.1667,73.45,94,100,6.91,BO,1674557729
Liuzhou,24.3126,109.3892,49.77,22,3,16.13,CN,1674557730
Marsá Maţrūḩ,31.3525,27.2453,66.4,52,40,11.5,EG,1674557524
Hervey Bay,-25.2986,152.8535,80.02,77,0,5.99,AU,1674557730
Camacha,33.0833,-16.3333,60.22,59,75,12.66,PT,1674557730
Broadstairs,51.3591,1.4394,41.79,80,94,4.0,GB,1674557730
Quepos,9.4236,-84.1652,73.53,73,0,5.08,CR,1674557730
Manta,-0.95,-80.7333,76.78,83,75,3.44,EC,1674557730
Nikolskoye,59.7035,30.7861,30.09,89,100,11.23,RU,1674557730
Kochevo,59.5994,54.3125,14.86,95,96,5.37,RU,1674557730
Kirakira,-10.4544,161.9205,79.18,85,99,5.44,SB,1674557731
Port-Cartier,50.0334,-66.8654,15.75,94,44,6.06,CA,1674557731
Oodweyne,9.4092,45.064,82.33,20,55,2.64,SO,1674557731
Concepción del Uruguay,-32.4825,-58.2372,74.98,54,0,5.99,AR,1674557606
Balyqshy,47.0667,51.8667,35.6,32,0,11.18,KZ,1674557731
Arraial do Cabo,-22.9661,-42.0278,75.16,94,75,5.75,BR,1674557731
Cidreira,-30.1811,-50.2056,75.69,80,2,4.21,BR,1674557731
Boden,65.8252,21.6886,28.4,93,30,3.0,SE,1674557731
Puerto Madero,14.7208,-92.4215,74.98,74,6,2.13,MX,1674557732
Mitsamiouli,-11.3847,43.2844,80.56,81,100,14.29,KM,1674557732
Provideniya,64.3833,-173.3,-5.91,87,2,11.48,RU,1674557732
Grójec,51.8625,20.8676,38.48,89,93,5.41,PL,1674557732
Oranjestad,12.524,-70.027,78.91,87,20,16.11,AW,1674557732
Belle Fourche,44.6714,-103.8522,34.5,69,100,14.61,US,1674557732
Baruun-Urt,46.6806,113.2792,-9.22,83,100,14.63,MN,1674557732
São Gabriel da Cachoeira,-0.1303,-67.0892,69.93,99,89,0.92,BR,1674557732
Cairns,-16.9167,145.7667,80.55,90,75,4.61,AU,1674557733
Chimoio,-19.1164,33.4833,82.26,65,40,5.75,MZ,1674557733
Neuquén,-38.9516,-68.0591,76.89,23,0,11.5,AR,1674557703
Pisco,-13.7,-76.2167,68.05,88,91,9.22,PE,1674557733
São José da Coroa Grande,-8.8978,-35.1478,81.3,67,14,6.91,BR,1674557733
Sisimiut,66.9395,-53.6735,19.2,93,100,5.75,GL,1674557733
Mancherial,18.8667,79.4333,88.57,24,16,8.86,IN,1674557733
