City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Nation,Date
Narsaq,60.9167,-46.05,26.74,96,100,3.06,GL,1674557733
Cabo San Lucas,22.8909,-109.9124,61.61,75,94,6.22,MX,1674557733
Yuli,9.6989,10.2744,94.01,10,90,9.01,NG,1674557734
Vicuña,-30.0319,-70.7081,56.93,66,0,1.12,CL,1674557471
Safaga,26.7292,33.9365,74.16,43,0,13.73,EG,1674557734
Pudozh,61.8099,36.5345,22.48,95,100,9.98,RU,1674557734
Sumbawanga,-7.9667,31.6167,76.8,57,75,0.0,TZ,1674557734
Ouricuri,-7.8825,-40.0817,77.97,71,6,2.82,BR,1674557734
Klaksvík,62.2266,-6.589,49.12,88,100,32.75,FO,1674557734
Fort Nelson,58.8053,-122.7002,17.19,86,100,5.75,CA,1674557734
Honningsvåg,70.9821,25.9704,31.75,93,100,37.98,NO,1674557734
Padang,-0.9492,100.3543,82.45,82,100,5.01,ID,1674557734
Tiksi,71.6872,128.8694,-25.47,100,100,4.03,RU,1674557734
Anloga,5.7947,0.8973,84.27,72,15,9.08,GH,1674557735
Lompoc,34.6391,-120.4579,49.93,70,0,1.01,US,1674557735
Gencsapáti,47.285,16.5958,45.66,91,100,7.18,HU,1674557735
San Cristobal,7.7669,-72.225,66.38,84,73,3.69,VE,1674557735
Titlāgarh,20.3,83.15,87.96,17,47,2.82,IN,1674557735
Abbeville,50.1,1.8333,38.25,80,26,11.45,FR,1674557638
Dikson,73.5069,80.5464,-5.21,95,100,35.77,RU,1674557736
Ati,13.2154,18.3353,91.76,7,99,8.88,TD,1674557736
Quelimane,-17.8786,36.8883,89.55,62,75,17.27,MZ,1674557736
Bogdăneşti,47.3667,26.2833,35.08,62,69,8.93,RO,1674557736
Moranbah,-22.0016,148.0466,77.14,69,7,14.61,AU,1674557736
Boa Vista,2.8197,-60.6733,71.58,94,0,4.61,BR,1674557736
Shenkursk,62.1091,42.896,20.17,91,96,9.19,RU,1674557564
Karratha,-20.7377,116.8463,84.76,68,65,9.24,AU,1674557737
Lerik,38.7726,48.4128,33.44,70,41,5.61,AZ,1674557737
Andapa,-14.65,49.65,79.5,81,99,1.23,MG,1674557736
Husavik,66.0449,-17.3389,36.19,87,82,9.13,IS,1674557737
Chibuto,-24.6867,33.5306,91.72,36,100,8.79,MZ,1674557737
Laguna,38.421,-121.4238,41.94,90,0,0.0,US,1674557737
Eureka,40.8021,-124.1637,36.79,71,12,4.88,US,1674557674
Coquimbo,-29.9533,-71.3436,64.13,82,100,2.3,CL,1674557737
Quatre Cocos,-20.2078,57.7625,82.51,79,100,9.44,MU,1674557737
Talāja,21.35,72.05,75.78,30,19,3.85,IN,1674557737
Hobyo,5.3505,48.5268,80.44,61,31,22.77,SO,1674557738
Mwinilunga,-11.7358,24.4293,73.04,65,100,11.01,ZM,1674557738
Vila Velha,-20.3297,-40.2925,73.35,98,75,3.44,BR,1674557738
Vaitape,-16.5167,-151.75,79.43,71,100,8.52,PF,1674557738
North Platte,41.1239,-100.7654,27.12,91,89,1.99,US,1674557738
Brae,60.3964,-1.353,48.78,97,100,24.52,GB,1674557738
Ostrovnoy,68.0531,39.5131,24.04,88,78,21.07,RU,1674557738
Beringovskiy,63.05,179.3167,-11.9,99,96,12.17,RU,1674557738
Shibetsu,43.659,145.132,21.27,81,100,12.12,JP,1674557739
Dubrovka,53.6907,33.5071,30.2,70,12,1.32,RU,1674557739
Huarmey,-10.0681,-78.1522,69.24,82,100,5.3,PE,1674557739
Texarkana,33.4251,-94.0477,42.24,80,68,4.0,US,1674557739
Fairbanks,64.8378,-147.7164,-4.4,79,100,3.44,US,1674557679
Gaya,24.7833,85.0,80.51,50,2,2.3,IN,1674557739
Skjervøy,70.0311,20.9714,33.8,77,100,43.06,NO,1674557739
Necochea,-38.5473,-58.7368,71.67,49,25,15.75,AR,1674557683
Belmonte,-15.8631,-38.8828,81.64,74,83,8.97,BR,1674557740
Río Gallegos,-51.6226,-69.2181,44.65,61,0,8.05,AR,1674557685
Poopó,-18.3667,-66.9667,45.01,72,100,3.4,BO,1674557740
Manfredonia,41.6259,15.9094,51.67,66,0,1.25,IT,1674557740
Port-Gentil,-0.7193,8.7815,85.96,74,20,8.05,GA,1674557740
Touros,-5.1989,-35.4608,82.18,68,32,10.36,BR,1674557740
Baculin,7.4525,126.5842,76.8,92,99,6.78,PH,1674557740
Beyneu,45.3167,55.2,36.66,32,29,12.57,KZ,1674557740
Kailua,21.4022,-157.7394,73.02,94,2,1.01,US,1674557741
Juegang,32.3174,121.1855,24.91,36,1,18.41,CN,1674557741
Churapcha,62.0025,132.4325,-50.39,100,96,4.36,RU,1674557741
Aban,56.67,96.06,8.13,97,100,4.47,RU,1674557741
Mazatlán,23.2167,-106.4167,65.91,89,92,3.89,MX,1674557741
Nha Trang,12.25,109.1833,75.2,88,65,19.44,VN,1674557741
Nuuk,64.1835,-51.7216,27.88,92,100,28.99,GL,1674557741
Novy Urengoy,66.0833,76.6333,-14.3,93,100,13.24,RU,1674557741
Ban Nahin,18.2418,104.2122,61.72,52,3,7.58,LA,1674557742
Tyrma,50.0833,132.1667,-32.62,100,98,1.41,RU,1674557742
Ayan,56.45,138.1667,-19.17,79,100,7.78,RU,1674557742
Aljezur,37.3191,-8.8033,50.38,42,0,12.37,PT,1674557742
Champasak,14.75,106.0,74.91,55,100,4.92,LA,1674557742
Flagstaff,35.1981,-111.6513,24.46,92,0,1.99,US,1674557742
Vodnyy,63.5046,53.4095,13.17,91,87,9.24,RU,1674557742
Road Town,18.4167,-64.6167,77.04,83,40,10.36,VG,1674557742
Takoradze,4.8845,-1.7554,85.42,65,7,6.29,GH,1674557742
Carlsbad,33.1581,-117.3506,52.61,48,0,4.0,US,1674557657
Kolyvan',55.3053,82.7391,20.82,92,100,10.4,RU,1674557743
Sainte-Rose,16.3324,-61.6979,72.18,83,20,4.61,GP,1674557743
Luebo,-5.35,21.4167,81.52,64,100,1.05,CD,1674557743
Ongandjera,-17.8833,15.0667,77.23,56,100,8.55,NA,1674557743
Salalah,17.0151,54.0924,74.75,60,47,9.75,OM,1674557563
Mundargi,15.2167,75.9,86.74,35,16,9.44,IN,1674557743
Mana,5.6592,-53.7767,76.01,80,31,9.22,GF,1674557743
Naze,28.3667,129.4833,41.92,79,100,29.08,JP,1674557744
Tabas,33.5959,56.9244,48.42,25,0,6.91,IR,1674557690
Flinders,-34.5833,150.8552,68.18,86,98,5.01,AU,1674557744
Imbituba,-28.24,-48.6703,73.85,71,0,2.91,BR,1674557744
Clyde River,70.4692,-68.5914,-21.77,76,100,11.5,CA,1674557744
Yulara,-25.2406,130.9889,90.37,18,98,0.96,AU,1674557744
Ingham,42.6,-84.3833,30.15,87,75,4.61,US,1674557744
Moussoro,13.6408,16.4901,92.39,7,8,12.77,TD,1674557744
Fomboni,-12.28,43.7425,82.36,74,100,23.06,KM,1674557745
Mlalo,-4.9333,38.9333,89.04,49,99,13.73,TZ,1674557745
Maceió,-9.6658,-35.7353,83.64,74,20,6.91,BR,1674557745
Lemery,11.2258,122.9275,75.2,84,44,16.24,PH,1674557745
Hīt,33.6416,42.8251,62.29,25,0,6.89,IQ,1674557745
Bichura,50.5881,107.6022,-16.42,94,100,1.95,RU,1674557745
Patan,27.6667,85.3333,66.58,39,20,14.97,NP,1674557745
Damaturu,11.747,11.9608,91.99,9,56,12.57,NG,1674557745
Trofors,65.5333,13.4063,31.87,98,96,5.77,NO,1674557745
Caravelas,-17.7125,-39.2481,81.72,73,100,10.16,BR,1674557746
Okhotsk,59.3833,143.3,-11.72,77,100,11.79,RU,1674557746
Yendi,9.4427,-0.0099,96.67,30,8,2.75,GH,1674557746
Alberton,46.8168,-64.0654,28.31,78,94,25.93,CA,1674557746
Minot,48.2325,-101.2963,32.22,80,100,12.66,US,1674557746
Kodīnar,20.7903,70.7031,76.69,32,22,10.63,IN,1674557746
Victoria Point,-27.5833,153.3,72.16,92,88,1.01,AU,1674557746
Tutóia,-2.7619,-42.2744,78.49,86,16,6.58,BR,1674557746
Charyshskoye,51.3978,83.5598,13.78,86,100,7.4,RU,1674557746
Waipawa,-41.4122,175.5153,52.25,88,41,4.79,NZ,1674557746
Gizo Government Station,-8.103,156.8419,79.75,83,100,5.21,SB,1674557747
Nísia Floresta,-6.0911,-35.2086,81.41,63,62,8.7,BR,1674557747
Los Llanos de Aridane,28.6585,-17.9182,62.35,70,40,8.05,ES,1674557747
Abu Samrah,35.3029,37.1841,58.91,52,0,5.84,SY,1674557747
Shawinigan,46.5668,-72.7491,28.85,80,99,5.75,CA,1674557747
Jaisalmer,26.9147,70.9181,67.82,18,1,10.63,IN,1674557747
Coahuayana Viejo,18.7333,-103.6833,64.92,75,42,5.06,MX,1674557747
Leirvik,59.7798,5.5005,43.86,100,75,12.66,NO,1674557747
Nan,18.8333,100.6667,82.42,42,20,5.75,TH,1674557748
Madison Heights,42.4859,-83.1052,32.88,81,0,6.91,US,1674557748
Roald,62.5833,6.1333,50.14,76,75,12.66,NO,1674557748
Vardø,70.3705,31.1107,28.38,74,0,27.63,NO,1674557748
Lac du Bonnet,50.2536,-96.0612,-0.45,98,100,2.51,CA,1674557748
Arlit,18.7369,7.3853,89.26,7,2,8.1,NE,1674557748
Lorengau,-2.0226,147.2712,78.85,82,100,3.53,PG,1674557748
Makakilo City,21.3469,-158.0858,71.56,83,15,4.99,US,1674557748
Arrifes,37.7667,-25.7,55.65,88,75,11.5,PT,1674557749
Esmeraldas,-19.7625,-44.3139,71.71,95,100,5.01,BR,1674557749
Ucluelet,48.9329,-125.5528,45.09,92,100,1.1,CA,1674557749
Krasnosel'kup,65.7,82.4667,-25.47,97,12,6.42,RU,1674557749
Bandarbeyla,9.4942,50.8122,77.52,62,97,19.91,SO,1674557749
Aragats,40.4889,44.3528,27.97,41,0,3.85,AM,1674557749
Pińczów,50.5205,20.5265,39.85,80,34,9.69,PL,1674557749
Hamilton,39.1834,-84.5333,30.99,90,96,1.99,US,1674557750
Osmeña,10.5208,119.9258,80.42,79,100,25.17,PH,1674557750
Huntsville,34.7304,-86.5861,35.15,91,0,1.01,US,1674557750
Buraidah,26.326,43.975,64.85,43,85,11.45,SA,1674557750
Wau,7.7029,27.9953,98.19,10,25,6.64,SS,1674557750
Kuril'sk,45.2333,147.8833,25.68,70,100,11.27,RU,1674557750
San Patricio,28.017,-97.5169,67.86,93,100,15.97,US,1674557750
Kaohsiung City,22.6163,120.3133,58.95,59,75,16.11,TW,1674557750
Hurghada,27.2574,33.8129,73.8,43,0,14.79,EG,1674557458
Ilhabela,-23.7781,-45.3581,77.16,88,100,6.73,BR,1674557751
Faya,18.3851,42.4509,66.31,56,17,10.51,SA,1674557751
Muroto-misakicho,33.2833,134.15,32.09,73,57,35.66,JP,1674557751
Ovalle,-30.5983,-71.2003,68.47,71,0,1.01,CL,1674557751
Middelburg,-25.7751,29.4648,85.15,18,4,9.08,ZA,1674557751
Tuatapere,-46.1333,167.6833,48.22,88,1,2.64,NZ,1674557751
Kourou,5.1552,-52.6478,77.05,76,44,9.48,GF,1674557751
Bang Saphan,11.2126,99.5117,80.22,69,74,4.81,TH,1674557752
Grand-Lahou,5.1367,-5.0242,85.55,67,66,6.55,CI,1674557752
Bengkulu,-3.8004,102.2655,75.54,93,100,11.23,ID,1674557752
Puerto Escondido,15.85,-97.0667,74.64,70,0,3.31,MX,1674557752
Kloulklubed,7.0419,134.2556,80.78,83,100,14.58,PW,1674557752
San Bernardo,-33.6,-70.7167,71.15,51,0,1.72,CL,1674557720
Nantucket,41.2835,-70.0995,33.85,76,40,9.22,US,1674557752
Mayor Pablo Lagerenza,-19.9309,-60.7718,76.95,84,91,5.61,PY,1674557752
Sortavala,61.7053,30.6918,30.96,94,100,8.61,RU,1674557753
Upata,8.0086,-62.3989,69.19,87,74,5.41,VE,1674557753
Napāsar,27.9667,73.55,69.93,36,1,8.63,IN,1674557753
Dowa,-13.654,33.9375,70.07,90,100,5.79,MW,1674557753
Luga,58.7372,29.8453,26.82,94,100,10.29,RU,1674557753
Kinablangan,7.6947,126.5503,77.54,89,100,7.54,PH,1674557753
Albury,-36.0833,146.9167,69.01,100,89,11.01,AU,1674557753
Kununurra,-15.7667,128.7333,93.18,38,100,19.57,AU,1674557753
Devils Lake,48.1128,-98.8651,19.94,88,100,14.97,US,1674557753
Atherton,53.5237,-2.4935,44.71,86,77,1.01,GB,1674557754
Sittingbourne,51.3413,0.7328,42.66,82,56,10.29,GB,1674557754
Hofn,64.2539,-15.2082,40.93,97,100,7.58,IS,1674557754
Seoul,37.5683,126.9778,6.24,49,20,13.8,KR,1674557754
Comodoro Rivadavia,-45.8667,-67.5,57.06,41,0,12.66,AR,1674557754
Oberá,-27.4871,-55.1199,77.63,43,0,1.3,AR,1674557684
Tura,25.5198,90.2201,71.29,41,82,4.29,IN,1674557754
Nadym,65.5333,72.5167,4.8,95,100,18.14,RU,1674557577
Liberty,31.8335,-81.5004,37.98,90,0,1.99,US,1674557754
Aloleng,16.1307,119.7824,77.36,79,23,26.6,PH,1674557754
Arrondissement de Vannes,47.8333,-2.5,38.01,73,6,14.63,FR,1674557669
Cayenne,4.9333,-52.3333,77.04,78,20,9.22,GF,1674557755
Nabire,-3.3667,135.4833,77.04,90,100,3.53,ID,1674557755
Impfondo,1.6381,18.0667,99.95,23,99,3.06,CG,1674557755
Şabyā,17.1495,42.6254,83.82,56,44,11.41,SA,1674557755
Boyolangu,-8.1181,111.8935,78.01,88,91,6.2,ID,1674557755
Tarsus,36.9188,34.8784,66.58,36,0,4.05,TR,1674557756
Warmbad,-28.45,18.7333,80.37,23,49,14.52,NA,1674557756
Callaguip,18.0714,120.4867,73.42,73,75,23.02,PH,1674557756
Novo Oriente,-5.5344,-40.7742,77.67,75,41,3.83,BR,1674557756
Opuwo,-18.0607,13.84,69.33,74,100,6.35,NA,1674557756
Singaraja,-8.112,115.0882,80.71,81,79,1.14,ID,1674557756
Mehamn,71.0357,27.8492,33.75,80,40,27.63,NO,1674557756
Mīnāb,27.1467,57.0801,67.21,23,5,15.32,IR,1674557756
Chara,56.9064,118.2631,-25.08,84,95,1.19,RU,1674557756
Mahibadhoo,3.7833,72.9667,78.06,82,100,18.59,MV,1674557638
Bani Walid,31.7566,13.9942,59.77,61,92,6.42,LY,1674557757
Mount Gambier,-37.8333,140.7667,55.98,89,26,5.59,AU,1674557757
Kasangulu,-4.5911,15.1708,82.98,66,90,4.81,CD,1674557757
Jining,35.405,116.5814,16.41,21,0,5.93,CN,1674557757
La Ronge,55.1001,-105.2842,5.25,85,100,6.91,CA,1674557757
Marsh Harbour,26.5412,-77.0636,70.09,76,100,17.85,BS,1674557757
Panzhihua,26.5851,101.7128,47.79,57,44,2.8,CN,1674557757
Taltal,-25.4,-70.4833,67.93,80,24,1.57,CL,1674557757
Merauke,-8.4667,140.3333,79.88,81,100,5.77,ID,1674557757
Huilong,31.8111,121.655,24.93,42,28,19.17,CN,1674557758
Jurm,36.8648,70.8342,25.36,93,99,4.16,AF,1674557758
Kargil,34.5667,76.1,7.41,91,100,1.39,IN,1674557758
Carson City,39.1638,-119.7674,22.57,83,0,4.0,US,1674557758
Potosí,-19.5836,-65.7531,36.46,93,100,0.0,BO,1674557768
Hobbs,32.7026,-103.136,32.2,84,100,17.27,US,1674557768
Georgiyevskoye,58.731,45.024,19.15,94,100,9.17,RU,1674557768
Mercedes,-34.6515,-59.4307,71.85,37,48,13.65,AR,1674557640
Deputatsky,69.3,139.9,-37.55,99,97,3.09,RU,1674557768
Coyhaique,-45.5752,-72.0662,45.21,87,75,5.75,CL,1674557601
Gorontalo,0.5412,123.0595,77.02,94,100,3.91,ID,1674557769
Kavaratti,10.5669,72.642,79.7,74,91,13.2,IN,1674557769
Evensk,61.95,159.2333,8.24,87,100,20.71,RU,1674557769
Gafanha da Encarnação,40.6181,-8.733,48.78,53,0,2.73,PT,1674557769
Kisangani,0.5167,25.2,100.92,24,61,2.42,CD,1674557769
Ugento,39.9263,18.1574,54.82,61,18,6.89,IT,1674557769
Lillooet,50.6856,-121.942,33.98,94,100,4.76,CA,1674557769
Balkanabat,39.5108,54.3671,39.74,28,0,1.74,TM,1674557769
Ak-Dovurak,51.1833,90.6,-7.02,98,100,2.15,RU,1674557769
Richards Bay,-28.783,32.0377,95.54,35,0,13.94,ZA,1674557770
Davideşti,45.0167,25.0333,33.1,78,100,3.15,RO,1674557770
Leningradskiy,69.3833,178.4167,-23.69,92,19,8.86,RU,1674557770
Zhezkazgan,47.8043,67.7144,12.18,79,0,13.42,KZ,1674557770
Gannan,47.9147,123.5031,-11.04,73,32,7.81,CN,1674557770
Japura,-0.3167,102.35,75.49,92,100,5.61,ID,1674557770
San Ramon,37.7799,-121.978,52.25,68,4,4.27,US,1674557770
Sibu,2.3,111.8167,77.31,100,40,10.36,MY,1674557770
Pangnirtung,66.1451,-65.7125,-9.98,99,100,1.99,CA,1674557771
Marzuq,14.4,46.4667,78.49,28,19,5.19,YE,1674557771
Half Moon Bay,37.4636,-122.4286,53.74,54,0,0.0,US,1674557771
Bonavista,48.6499,-53.1147,39.36,97,100,38.88,CA,1674557771
Lavrentiya,65.5833,-171.0,-15.36,95,23,10.92,RU,1674557771
Aitape,-3.1374,142.3475,76.24,93,100,3.6,PG,1674557771
Great Yarmouth,52.6083,1.7305,40.44,77,2,1.41,GB,1674557771
Trelew,-43.249,-65.3051,70.07,49,0,27.63,AR,1674557771
Maniitsoq,65.4167,-52.9,24.24,94,100,0.29,GL,1674557771
Kathmandu,27.7167,85.3167,66.42,45,20,14.97,NP,1674557772
Pacific Grove,36.6177,-121.9166,49.08,57,1,3.0,US,1674557772
Dvinskoy,62.1535,45.1175,20.5,94,98,6.62,RU,1674557772
Yei,4.095,30.6779,92.55,15,96,3.56,SS,1674557772
Nome,64.5011,-165.4064,-11.52,86,0,8.79,US,1674557590
Abnūb,27.2696,31.1511,62.82,33,0,12.03,EG,1674557772
Sakaiminato,35.55,133.2333,26.58,93,100,16.11,JP,1674557772
Paramonga,-10.6667,-77.8333,69.24,84,97,4.12,PE,1674557772
Gusinoye Ozero,51.1144,106.2614,-21.15,94,100,1.88,RU,1674557772
Sobolevo,54.4299,31.8996,32.81,82,100,4.38,RU,1674557773
Mastung,29.7994,66.845,34.5,48,4,11.81,PK,1674557773
Maracaçumé,-2.0428,-45.9592,74.82,95,100,1.74,BR,1674557773
Zyryanka,65.75,150.85,-22.99,96,100,1.07,RU,1674557773
Kiryat Gat,31.61,34.7642,72.28,33,0,7.16,IL,1674557773
Ossora,59.2353,163.0719,14.22,93,100,19.82,RU,1674557773
Port Blair,11.6667,92.75,84.24,51,20,9.22,IN,1674557773
Mont-Joli,48.5839,-68.1921,24.3,74,100,16.11,CA,1674557773
Jacmel,18.2342,-72.5347,67.84,63,8,6.02,HT,1674557773
Kiomboi,-4.2667,34.3667,72.18,58,100,1.74,TZ,1674557773
Riverton,40.5219,-111.9391,25.57,84,78,5.01,US,1674557774
Nelson Bay,-32.7167,152.15,77.0,90,52,8.99,AU,1674557774
Ginir,7.1333,40.7,78.17,21,36,11.72,ET,1674557774
Sept-Îles,50.2001,-66.3821,16.05,82,0,9.22,CA,1674557774
Havre-St-Pierre,50.2334,-63.5986,19.4,62,0,10.36,CA,1674557774
Vung Tau,10.346,107.0843,78.4,77,70,21.7,VN,1674557774
Palu,-0.8917,119.8707,77.11,95,97,1.61,ID,1674557774
Narrabri,-30.3167,149.7833,77.9,33,0,3.2,AU,1674557774
Vanimo,-2.6741,141.3028,75.54,94,100,2.15,PG,1674557774
Truro,50.2653,-5.0544,46.83,80,0,2.3,GB,1674557524
Houma,29.5958,-90.7195,50.02,89,40,10.36,US,1674557775
Inhambane,-23.865,35.3833,87.82,53,100,13.69,MZ,1674557775
Ban Dung,17.699,103.2596,74.1,85,1,12.68,TH,1674557734
Abhā,18.2164,42.5053,66.02,48,20,13.8,SA,1674557720
Shillong,25.5689,91.8831,57.24,59,83,8.05,IN,1674557775
Paamiut,61.994,-49.6678,28.33,92,100,19.84,GL,1674557681
Amurrio,43.05,-3.0,40.69,85,100,6.15,ES,1674557775
Lebowakgomo,-24.2,29.5,83.3,23,2,3.83,ZA,1674557775
Nchelenge,-9.3451,28.734,78.39,59,76,6.11,ZM,1674557775
Havøysund,70.9963,24.6622,32.23,75,66,42.66,NO,1674557775
Vestmanna,62.1564,-7.1664,47.32,93,100,8.05,FO,1674557775
Virginia Beach,36.8529,-75.978,37.42,71,0,7.96,US,1674557776
Ouadda,8.0777,22.4007,97.14,8,100,6.24,CF,1674557776
Asău,46.4333,26.4,31.28,69,97,5.86,RO,1674557776
Ola,59.5833,151.2833,-8.86,85,100,12.15,RU,1674557776
Ibrā’,22.6906,58.5334,61.79,55,98,2.95,OM,1674557776
Miyako,39.6367,141.9525,21.51,61,99,15.1,JP,1674557776
Ürümqi,43.801,87.6005,-1.25,71,76,4.47,CN,1674557776
Mineiros,-17.5694,-52.5511,67.19,95,100,1.34,BR,1674557776
Zabid,14.1951,43.3152,86.85,42,14,14.74,YE,1674557777
Atar,20.5169,-13.0499,77.7,12,2,6.69,MR,1674557777
Taitung City,22.7583,121.1444,57.47,82,75,5.75,TW,1674557777
Tucumcari,35.1717,-103.725,31.95,100,100,3.44,US,1674557777
Meulaboh,4.1363,96.1285,78.06,87,83,11.61,ID,1674557777
